url,Beds,Baths,Pricing,Address
https://rentals.ca/ottawa/1725-frobisher-lane,1 ,1 ,$1539,"1725 Frobisher Lane - Ottawa, ON"
https://rentals.ca/ottawa/2995-albion-road,1 - 2 ,1 ,$1319 - $1559,"2995 Albion Road - Ottawa, ON"
https://rentals.ca/ottawa/230240-brittany-drive,2 ,1 ,$1629,"230/240 Brittany Drive - Ottawa, ON"
https://rentals.ca/ottawa/1833-frobisher-lane,0 - 2 ,1 - 1.5 ,$1399 - $2014,"1833 Frobisher Lane - Ottawa, ON"
https://rentals.ca/ottawa/435-albert-st,1 - 2 ,1 - 1.5 ,$2050 - $2550,"435 Albert St. - Ottawa, ON"
https://rentals.ca/ottawa/192-bronson-ave,0 - 2 ,1 - 2 ,$1675 - $3850,"192 Bronson Ave. - Ottawa, ON"
https://rentals.ca/ottawa/avalon-park,0 - 2 ,1 ,$1345 - $1879,"2470 Southvale Crescent - Ottawa, ON"
https://rentals.ca/ottawa/2181-navaho-drive,1 - 3 ,1 ,$1529 - $2099,"2181 Navaho Drive - Ottawa, ON"
https://rentals.ca/ottawa/2969-fairlea-crescent,0 - 1 ,1 ,$1399 - $1599,"2969 Fairlea Crescent - Ottawa, ON"
https://rentals.ca/ottawa/6-oblats,0 - 2 ,1 ,$1675 - $3115,"6 Oblats - Ottawa, ON"
https://rentals.ca/ottawa/285-loretta-the-dowsview,0 - 1 ,1 ,$1399 - $1499,"285 Loretta Ave S - Ottawa, ON"
https://rentals.ca/ottawa/473-albert-street,0 - 2 ,1 - 2 ,$1695 - $3255,"473 Albert Street - Ottawa, ON"
https://rentals.ca/ottawa/964-smyth-st,1 - 2 ,1 - 2 ,$1895 - $2475,"964 Smyth Rd - Ottawa, ON"
https://rentals.ca/ottawa/liv-apartments,1 - 3 ,1 - 1.5 ,$1739 - $3499,"207 Bell Street - Ottawa, ON"
https://rentals.ca/ottawa/160-chapel,0 - 1 ,1 ,$1300 - $1800,"160 Chapel Street - Ottawa, ON"
